기업 이름,시가총액(억),PER,5년 평균 PER,업종 평균 PER,현금배당수익률,유동자산(억),유동부채(억),현금 및 현금성 자산(억)
동서,"26,919억원",23.75,21.58,11.87,2.59%,"7,804.2",586.9,205.3
포스코인터내셔널,"26,587억원",7.37,10.65,6.03,3.71%,"71,551.8","56,693.4","5,211.6"
한솔케미칼,"26,808억원",18.07,16.56,8.63,0.89%,"4,113.0","1,997.1",660.5
한화에어로스페이스,"26,429억원",10.46,21.95,30.50,1.34%,"62,835.4","43,301.0","25,280.7"
대우조선해양,"26,018억원",N/A,15.47,N/A,N/A,"64,810.8","74,644.7","17,789.4"
두산퓨얼셀,"26,328억원",378.39,178.37,77.54,N/A,N/A,N/A,N/A
키움증권,"25,984억원",2.85,7.42,3.84,3.03%,"120,123.8","28,567.3",
하이트진로,"26,475억원",37.50,61.18,22.59,2.12%,"13,043.2","18,367.7","4,698.2"
씨에스윈드,"26,146억원",38.73,51.76,18.92,0.97%,"10,729.2","5,726.7","2,618.1"
BNK금융지주,"25,944억원",3.18,5.18,5.82,4.02%,"45,050.7",574.6,
신세계,"25,893억원",8.44,10.07,6.62,1.14%,"19,103.7","35,705.4","5,777.9"
DL이앤씨,"25,844억원",4.93,4.4,8.41,2.02%,N/A,N/A,N/A
OCI,"25,042억원",3.87,14.08,8.63,1.90%,"33,389.9","12,364.9","6,987.0"
CJ,"24,567억원",10.92,18.1,7.90,2.73%,"120,523.9","125,460.8","31,938.6"
SK케미칼,"23,700억원",15.78,66.95,8.63,2.23%,"27,840.6","10,866.5","2,556.2"
효성첨단소재,N/A,9.33,N/A,8.63,1.92%,N/A,N/A,N/A
한화,"23,575억원",3.42,12.26,5.09,2.38%,"176,347.1","164,689.6","54,964.9"
대한전선,"23,085억원",62.41,227.22,19.54,N/A,"9,391.6","7,577.5","1,479.2"
만도,"23,854억원",14.27,225.67,13.50,1.57%,"29,442.9","21,295.9","8,522.6"
녹십자,"23,315억원",18.92,43.74,83.29,1.00%,"10,956.2","5,528.8","1,860.6"
영원무역,"21,181억원",7.11,10.6,6.21,2.09%,"20,447.5","5,252.5","6,417.8"
현대로템,"21,883억원",32.90,43.49,18.92,N/A,"26,797.5","20,906.7","3,197.3"
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
롯데정밀화학,"21,362억원",3.65,8.22,8.63,2.78%,"8,668.6","3,090.2","2,288.1"
현대차,"380,329억원",9.97,18.68,7.31,2.81%,"533,127.6","642,367.9","127,955.5"
LG화학,"369,198억원",11.16,50.6,8.63,2.29%,"204,138.2","150,621.0","37,608.3"
효성티앤씨,"20,016억원",2.60,8.36,6.21,10.81%,"26,054.3","22,495.1","1,437.6"
솔루스첨단소재,"19,730억원",223.44,120.5,20.84,0.15%,N/A,N/A,N/A
대웅제약,"18,944억원",76.82,88.05,83.29,0.37%,"5,248.9","4,606.6",759.1
신풍제약,N/A,N/A,N/A,83.29,N/A,N/A,N/A,N/A
한샘,"19,227억원",34.37,34.56,19.14,1.90%,"4,575.5","3,917.3","1,176.7"
휠라홀딩스,"19,107억원",8.12,15.83,6.21,3.18%,"20,411.3","10,513.9","6,992.0"
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
한전KPS,"18,652억원",18.90,13.42,N/A,2.89%,"8,001.1","2,677.2",740.4
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
일동제약,"16,901억원",N/A,31.04,83.29,N/A,"3,015.5","3,641.4","1,355.9"
농심,"18,157억원",18.19,18.89,11.87,1.34%,"10,886.9","5,373.3","1,574.8"
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
대웅,"17,791억원",22.58,23.3,83.29,0.33%,"8,479.9","5,139.7","1,246.3"
효성,"18,016억원",4.11,9.69,7.90,7.60%,"19,065.1","15,612.4","1,819.6"
현대백화점,"17,833억원",9.42,12.31,6.62,1.44%,"19,453.3","19,784.6",466.3
후성,"17,595억원",77.98,70.36,8.63,0.08%,"1,821.9","1,619.9",393.5
두산,"16,937억원",10.36,28.89,7.90,1.95%,"98,952.8","120,064.5","22,353.6"
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
한미반도체,"17,311억원",16.70,29.97,10.64,1.71%,"2,497.8",806.9,496.1
