기업 이름,시가총액(억),PER,5년 평균 PER,업종 평균 PER,현금배당수익률,유동자산(억),유동부채(억),현금 및 현금성 자산(억),순운전자본 + 현금,시가총액,염가 여부,염가 비율
한국항공우주,"40,793억원",63.84,39.26,30.5,0.48%,"36,809.90","28,000.70","8,865.90","17,675.10","40,793",FALSE,56.67%
이마트,"39,444억원",2.51,10.62,6.62,1.41%,"51,883.50","98,169.70","10,101.70","-36,184.50","39,444",FALSE,191.74%
아모레G,"38,426억원",24.85,138.71,32.56,0.97%,"30,154.70","12,732.80","8,706.00","26,127.90","38,426",FALSE,32.00%
두산밥캣,"38,796억원",10.05,12.06,18.92,3.10%,"26,459.40","14,982.40","9,517.60","20,994.60","38,796",FALSE,45.88%
NH투자증권,"37,976억원",3.73,8.15,3.8,9.17%,"90,399.20","68,181.50",,"22,217.70","37,976",FALSE,
GS건설,"39,881억원",9.72,7.31,8.41,2.79%,"81,951.10","67,693.30","27,183.90","41,441.70","39,881",TRUE,-3.91%
삼성카드,"37,307억원",6.77,10.5,6.77,7.14%,"14,697.20",N/A,500.2,#VALUE!,"37,307",#VALUE!,
삼성증권,"37,685억원",3.9,8.04,3.8,9.00%,"180,007.50","60,809.30",,"119,198.20","37,685",FALSE,
한국가스공사,"35,817억원",3.77,34.23,5.65,7.03%,"131,477.40","140,216.60","5,645.20","-3,094.00","35,817",FALSE,108.64%
팬오션,"35,870억원",6.53,17.11,3.17,1.49%,"13,587.10","11,494.10","5,215.90","7,308.90","35,870",FALSE,79.62%
오리온,"35,227억원",13.67,23.9,11.87,0.84%,"11,462.30","5,219.10","5,504.10","11,747.30","35,227",FALSE,66.65%
롯데지주,"34,200억원",11.19,15.53,11.87,4.60%,"47,724.60","45,670.00","13,944.70","15,999.30","34,200",FALSE,53.22%
현대오토에버,"34,280억원",46.27,36.35,38.71,0.56%,"14,710.50","7,213.70","1,402.90","8,899.70","34,280",FALSE,74.04%
한미약품,"33,628억원",50.17,163.23,83.29,0.18%,"7,039.60","6,489.40","2,092.20","2,642.40","33,628",FALSE,92.14%
호텔신라,"32,694억원",123.11,74.68,N/A,0.24%,"10,872.30","10,117.70","2,428.70","3,183.30","32,694",FALSE,90.26%
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
DB하이텍,"32,589억원",10.31,9.21,10.64,0.61%,"8,151.60","3,353.40","1,830.20","6,628.40","32,589",FALSE,79.66%
한전기술,"31,646억원",192.35,70.02,N/A,0.29%,N/A,N/A,N/A,#VALUE!,"31,646",#VALUE!,
현대차,"380,329억원",9.97,18.68,7.31,2.81%,"533,127.60","642,367.90","127,955.50","18,715.20","380,329",FALSE,95.08%
한미사이언스,"30,469억원",70.95,183.01,83.29,0.44%,"2,225.60","2,210.00",165.9,181.50,"30,469",FALSE,99.40%
BGF리테일,"31,025억원",21.01,20,6.62,1.67%,"8,083.30","10,164.60",544.4,"-1,536.90","31,025",FALSE,104.95%
한화시스템,"30,605억원",25.72,26.09,30.5,0.99%,N/A,N/A,N/A,#VALUE!,"30,605",#VALUE!,
현대미포조선,"30,596억원",N/A,22.11,N/A,N/A,"20,467.00","16,120.00","4,003.70","8,350.70","30,596",FALSE,
KCC,"29,992억원",N/A,49.6,23.68,2.07%,"36,681.30","26,999.70","5,412.00","15,093.60","29,992",FALSE,49.67%
GS리테일,"29,688억원",3.16,18.79,6.62,4.23%,"11,839.30","20,552.00",913.6,"-7,799.10","29,688",FALSE,126.27%
CJ대한통운,"28,858억원",52.72,62.56,10.47,N/A,"23,482.20","24,489.20","2,295.00","1,288.00","28,858",FALSE,
제일기획,"27,265억원",16.48,18.02,19.89,4.18%,"20,186.00","12,242.20","5,043.10","12,986.90","27,265",FALSE,52.37%
현대해상,"28,697억원",7.5,8.17,7.55,3.12%,"11,023.50","40,715.70",,"-29,692.20","28,697",FALSE,
롯데쇼핑,N/A,N/A,N/A,6.62,2.87%,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
대우건설,"28,636억원",5.91,7.74,8.41,N/A,"71,488.90","50,489.60","10,610.40","31,609.70","28,636",FALSE,
한화생명,"27,402억원",3.58,11.04,5.09,0.95%,"15,582.60","256,075.60",,"-240,493.00","27,402",FALSE,
에스원,"26,941억원",20.89,26.85,17.18,3.53%,"8,643.60","4,172.70","2,189.00","6,659.90","26,941",FALSE,75.28%
동서,"26,919억원",23.75,21.58,11.87,2.59%,"7,804.20",586.9,205.3,"7,422.60","26,919",FALSE,72.43%
포스코인터내셔널,"26,587억원",7.37,10.65,6.03,3.71%,"71,551.80","56,693.40","5,211.60","20,070.00","26,587",FALSE,24.51%
한솔케미칼,"26,808억원",18.07,16.56,8.63,0.89%,"4,113.00","1,997.10",660.5,"2,776.40","26,808",FALSE,89.64%
한화에어로스페이스,"26,429억원",10.46,21.95,30.5,1.34%,"62,835.40","43,301.00","25,280.70","44,815.10","26,429",TRUE,-69.57%
대우조선해양,"26,018억원",N/A,15.47,N/A,N/A,"64,810.80","74,644.70","17,789.40","7,955.50","26,018",FALSE,
두산퓨얼셀,"26,328억원",378.39,178.37,77.54,N/A,N/A,N/A,N/A,#VALUE!,"26,328",#VALUE!,
키움증권,"25,984억원",2.85,7.42,3.84,3.03%,"120,123.80","28,567.30",,"91,556.50","25,984",FALSE,
하이트진로,"26,475억원",37.5,61.18,22.59,2.12%,"13,043.20","18,367.70","4,698.20",-626.30,"26,475",FALSE,102.37%
씨에스윈드,"26,146억원",38.73,51.76,18.92,0.97%,"10,729.20","5,726.70","2,618.10","7,620.60","26,146",FALSE,70.85%
BNK금융지주,"25,944억원",3.18,5.18,5.82,4.02%,"45,050.70",574.6,,"44,476.10","25,944",FALSE,
신세계,"25,893억원",8.44,10.07,6.62,1.14%,"19,103.70","35,705.40","5,777.90","-10,823.80","25,893",FALSE,141.80%
DL이앤씨,"25,844억원",4.93,4.4,8.41,2.02%,N/A,N/A,N/A,#VALUE!,"25,844",#VALUE!,
OCI,"25,042억원",3.87,14.08,8.63,1.90%,"33,389.90","12,364.90","6,987.00","28,012.00","25,042",TRUE,-11.86%
CJ,"24,567억원",10.92,18.1,7.9,2.73%,"120,523.90","125,460.80","31,938.60","27,001.70","24,567",TRUE,-9.91%
SK케미칼,"23,700억원",15.78,66.95,8.63,2.23%,"27,840.60","10,866.50","2,556.20","19,530.30","23,700",FALSE,17.59%
효성첨단소재,N/A,9.33,N/A,8.63,1.92%,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
한화,"23,575억원",3.42,12.26,5.09,2.38%,"176,347.10","164,689.60","54,964.90","66,622.40","23,575",TRUE,-182.60%
대한전선,"23,085억원",62.41,227.22,19.54,N/A,"9,391.60","7,577.50","1,479.20","3,293.30","23,085",FALSE,
만도,"23,854억원",14.27,225.67,13.5,1.57%,"29,442.90","21,295.90","8,522.60","16,669.60","23,854",FALSE,30.12%
녹십자,"23,315억원",18.92,43.74,83.29,1.00%,"10,956.20","5,528.80","1,860.60","7,288.00","23,315",FALSE,68.74%
영원무역,"21,181억원",7.11,10.6,6.21,2.09%,"20,447.50","5,252.50","6,417.80","21,612.80","21,181",TRUE,-2.04%
현대로템,"21,883억원",32.9,43.49,18.92,N/A,"26,797.50","20,906.70","3,197.30","9,088.10","21,883",FALSE,
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
롯데정밀화학,"21,362억원",3.65,8.22,8.63,2.78%,"8,668.60","3,090.20","2,288.10","7,866.50","21,362",FALSE,63.18%
현대차,"380,329억원",9.97,18.68,7.31,2.81%,"533,127.60","642,367.90","127,955.50","18,715.20","380,329",FALSE,95.08%
LG화학,"369,198억원",11.16,50.6,8.63,2.29%,"204,138.20","150,621.00","37,608.30","91,125.50","369,198",FALSE,75.32%
효성티앤씨,"20,016억원",2.6,8.36,6.21,10.81%,"26,054.30","22,495.10","1,437.60","4,996.80","20,016",FALSE,75.04%
솔루스첨단소재,"19,730억원",223.44,120.5,20.84,0.15%,N/A,N/A,N/A,#VALUE!,"19,730",#VALUE!,
대웅제약,"18,944억원",76.82,88.05,83.29,0.37%,"5,248.90","4,606.60",759.1,"1,401.40","18,944",FALSE,92.60%
신풍제약,N/A,N/A,N/A,83.29,N/A,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
한샘,"19,227억원",34.37,34.56,19.14,1.90%,"4,575.50","3,917.30","1,176.70","1,834.90","19,227",FALSE,90.46%
휠라홀딩스,"19,107억원",8.12,15.83,6.21,3.18%,"20,411.30","10,513.90","6,992.00","16,889.40","19,107",FALSE,11.61%
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
한전KPS,"18,652억원",18.9,13.42,N/A,2.89%,"8,001.10","2,677.20",740.4,"6,064.30","18,652",FALSE,67.49%
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
일동제약,"16,901억원",N/A,31.04,83.29,N/A,"3,015.50","3,641.40","1,355.90",730.00,"16,901",FALSE,
농심,"18,157억원",18.19,18.89,11.87,1.34%,"10,886.90","5,373.30","1,574.80","7,088.40","18,157",FALSE,60.96%
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
대웅,"17,791억원",22.58,23.3,83.29,0.33%,"8,479.90","5,139.70","1,246.30","4,586.50","17,791",FALSE,74.22%
효성,"18,016억원",4.11,9.69,7.9,7.60%,"19,065.10","15,612.40","1,819.60","5,272.30","18,016",FALSE,70.74%
현대백화점,"17,833억원",9.42,12.31,6.62,1.44%,"19,453.30","19,784.60",466.3,135.00,"17,833",FALSE,99.24%
후성,"17,595억원",77.98,70.36,8.63,0.08%,"1,821.90","1,619.90",393.5,595.50,"17,595",FALSE,96.62%
두산,"16,937억원",10.36,28.89,7.9,1.95%,"98,952.80","120,064.50","22,353.60","1,241.90","16,937",FALSE,92.67%
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
한미반도체,"17,311억원",16.7,29.97,10.64,1.71%,"2,497.80",806.9,496.1,"2,187.00","17,311",FALSE,87.37%
현대위아,"17,378억원",27.88,27.82,13.5,1.10%,"41,564.90","21,262.80","4,350.60","24,652.70","17,378",TRUE,-41.86%
